source_file,folder,snapshot,step,atomization_energy
6_0901_0.xyz,02_6_0901_0,12,120,-483.504351999989
6_0901_0.xyz,02_6_0901_0,13,130,-483.887164499989
6_0901_0.xyz,02_6_0901_0,14,140,-483.519976999989
6_0901_0.xyz,02_6_0901_0,15,150,-483.410601999989
6_0901_0.xyz,02_6_0901_0,16,160,-483.293414499989
6_0901_0.xyz,02_6_0901_0,17,170,-483.379351999989
6_0901_0.xyz,02_6_0901_0,18,180,-483.254351999989
6_0901_0.xyz,02_6_0901_0,19,190,-483.598101999989
6_0901_0.xyz,02_6_0901_0,20,200,-483.730914499989
6_0901_0.xyz,02_6_0901_0,21,210,-483.394976999989
6_0901_0.xyz,02_6_0901_0,22,220,-483.449664499989
6_0901_0.xyz,02_6_0901_0,23,230,-483.793414499989
6_0901_0.xyz,02_6_0901_0,24,240,-482.723101999989
6_0901_0.xyz,02_6_0901_0,25,250,-483.746539499989
6_0901_0.xyz,02_6_0901_0,26,260,-483.309039499989
6_0901_0.xyz,02_6_0901_0,27,270,-483.465289499989
6_0901_0.xyz,02_6_0901_0,28,280,-483.621539499989
6_0901_0.xyz,02_6_0901_0,29,290,-483.723101999989
6_0901_0.xyz,02_6_0901_0,30,300,-483.605914499989
6_0901_0.xyz,02_6_0901_0,31,310,-483.410601999989
6_0901_0.xyz,02_6_0901_0,32,320,-483.941851999989
6_0901_0.xyz,02_6_0901_0,33,330,-483.504351999989
6_0901_0.xyz,02_6_0901_0,34,340,-483.480914499989
6_0901_0.xyz,02_6_0901_0,35,350,-483.277789499989
6_0901_0.xyz,02_6_0901_0,36,360,-482.965289499989
6_0901_0.xyz,02_6_0901_0,37,370,-483.254351999989
6_0901_0.xyz,02_6_0901_0,38,380,-483.277789499989
6_0901_0.xyz,02_6_0901_0,39,390,-483.816851999989
6_0901_0.xyz,02_6_0901_0,40,400,-483.652789499989
6_0901_0.xyz,02_6_0901_0,41,410,-483.215289499989
6_0901_0.xyz,02_6_0901_0,42,420,-483.105914499989
6_0901_0.xyz,02_6_0901_0,43,430,-482.941851999989
6_0901_0.xyz,02_6_0901_0,44,440,-482.809039499989
6_0901_0.xyz,02_6_0901_0,45,450,-483.246539499989
6_0901_0.xyz,02_6_0901_0,46,460,-482.637164499989
6_0901_0.xyz,02_6_0901_0,47,470,-483.574664499989
6_0901_0.xyz,02_6_0901_0,48,480,-482.699664499989
6_0901_0.xyz,02_6_0901_0,49,490,-482.941851999989
6_0901_0.xyz,02_6_0901_0,50,500,-483.355914499989
6_0901_0.xyz,02_6_0901_0,51,510,-483.340289499989
6_0901_0.xyz,02_6_0901_0,52,520,-483.793414499989
6_0901_0.xyz,02_6_0901_0,53,530,-483.723101999989
6_0901_0.xyz,02_6_0901_0,54,540,-483.668414499989
6_0901_0.xyz,02_6_0901_0,55,550,-483.535601999989
6_0901_0.xyz,02_6_0901_0,56,560,-482.754351999989
6_0901_0.xyz,02_6_0901_0,57,570,-482.730914499989
6_0901_0.xyz,02_6_0901_0,58,580,-483.184039499989
6_0901_0.xyz,02_6_0901_0,59,590,-483.598101999989
6_0901_0.xyz,02_6_0901_0,60,600,-483.527789499989
6_0901_0.xyz,02_6_0901_0,61,610,-483.894976999989
6_0901_0.xyz,02_6_0901_0,62,620,-483.879351999989
6_0901_0.xyz,02_6_0901_0,63,630,-483.871539499989
6_0901_0.xyz,02_6_0901_0,64,640,-483.519976999989
6_0901_0.xyz,02_6_0901_0,65,650,-483.512164499989
6_0901_0.xyz,02_6_0901_0,66,660,-482.793414499989
6_0901_0.xyz,02_6_0901_0,67,670,-482.973101999989
6_0901_0.xyz,02_6_0901_0,68,680,-483.402789499989
6_0901_0.xyz,02_6_0901_0,69,690,-483.230914499989
6_0901_0.xyz,02_6_0901_0,70,700,-483.027789499989
6_0901_0.xyz,02_6_0901_0,71,710,-483.168414499989
6_0901_0.xyz,02_6_0901_0,72,720,-483.543414499989
6_0901_0.xyz,02_6_0901_0,73,730,-483.129351999989
6_0901_0.xyz,02_6_0901_0,74,740,-483.387164499989
6_0901_0.xyz,02_6_0901_0,75,750,-483.379351999989
6_0901_0.xyz,02_6_0901_0,76,760,-483.605914499989
6_0901_0.xyz,02_6_0901_0,77,770,-483.066851999989
6_0901_0.xyz,02_6_0901_0,78,780,-483.332476999989
6_0901_0.xyz,02_6_0901_0,79,790,-483.926226999989
6_0901_0.xyz,02_6_0901_0,80,800,-482.410601999989
6_0901_0.xyz,02_6_0901_0,81,810,-483.566851999989
6_0901_0.xyz,02_6_0901_0,82,820,-483.129351999989
6_0901_0.xyz,02_6_0901_0,83,830,-483.090289499989
6_0901_0.xyz,02_6_0901_0,84,840,-483.379351999989
6_0901_0.xyz,02_6_0901_0,85,850,-482.863726999989
6_0901_0.xyz,02_6_0901_0,86,860,-483.379351999989
6_0901_0.xyz,02_6_0901_0,87,870,-482.637164499989
6_0901_0.xyz,02_6_0901_0,88,880,-482.512164499989
6_0901_0.xyz,02_6_0901_0,89,890,-482.465289499989
6_0901_0.xyz,02_6_0901_0,90,900,-482.590289499989
6_0901_0.xyz,02_6_0901_0,91,910,-483.348101999989
6_0901_0.xyz,02_6_0901_0,92,920,-483.262164499989
6_0901_0.xyz,02_6_0901_0,93,930,-482.176226999989
6_0901_0.xyz,02_6_0901_0,94,940,-482.480914499989
6_0901_0.xyz,02_6_0901_0,95,950,-482.457476999989
6_0901_0.xyz,02_6_0901_0,96,960,-482.277789499989
6_0901_0.xyz,02_6_0901_0,97,970,-482.559039499989
6_0901_0.xyz,02_6_0901_0,98,980,-482.246539499989
6_0901_0.xyz,02_6_0901_0,99,990,-482.184039499989
6_0901_0.xyz,02_6_0901_0,100,1000,-482.551226999989
6_0901_0.xyz,02_6_0901_0,101,1010,-483.152789499989
6_0901_0.xyz,02_6_0901_0,102,1020,-482.574664499989
6_0901_0.xyz,02_6_0901_0,103,1030,-483.074664499989
6_0901_0.xyz,02_6_0901_0,104,1040,-482.762164499989
6_0901_0.xyz,02_6_0901_0,105,1050,-483.113726999989
6_0901_0.xyz,02_6_0901_0,106,1060,-483.160601999989
6_0901_0.xyz,02_6_0901_0,107,1070,-482.957476999989
6_0901_0.xyz,02_6_0901_0,108,1080,-483.059039499989
6_0901_0.xyz,02_6_0901_0,109,1090,-482.637164499989
6_0901_0.xyz,02_6_0901_0,110,1100,-482.621539499989
6_0901_0.xyz,02_6_0901_0,111,1110,-482.684039499989
6_0901_0.xyz,02_6_0901_0,112,1120,-482.699664499989
6_0901_0.xyz,02_6_0901_0,113,1130,-482.785601999989
6_0901_0.xyz,02_6_0901_0,114,1140,-483.269976999989
6_0901_0.xyz,02_6_0901_0,115,1150,-483.293414499989
6_0901_0.xyz,02_6_0901_0,116,1160,-483.152789499989
6_0901_0.xyz,02_6_0901_0,117,1170,-483.629351999989
6_0901_0.xyz,02_6_0901_0,118,1180,-483.027789499989
6_0901_0.xyz,02_6_0901_0,119,1190,-482.949664499989
6_0901_0.xyz,02_6_0901_0,120,1200,-482.348101999989
6_0901_0.xyz,02_6_0901_0,121,1210,-483.035601999989
6_0901_0.xyz,02_6_0901_0,122,1220,-482.863726999989
6_0901_0.xyz,02_6_0901_0,123,1230,-482.684039499989
6_0901_0.xyz,02_6_0901_0,124,1240,-482.285601999989
6_0901_0.xyz,02_6_0901_0,125,1250,-483.246539499989
6_0901_0.xyz,02_6_0901_0,126,1260,-482.574664499989
6_0901_0.xyz,02_6_0901_0,127,1270,-482.894976999989
6_0901_0.xyz,02_6_0901_0,128,1280,-483.379351999989
6_0901_0.xyz,02_6_0901_0,129,1290,-483.059039499989
6_0901_0.xyz,02_6_0901_0,130,1300,-483.402789499989
6_0901_0.xyz,02_6_0901_0,131,1310,-483.262164499989
6_0901_0.xyz,02_6_0901_0,132,1320,-483.238726999989
6_0901_0.xyz,02_6_0901_0,133,1330,-483.246539499989
6_0901_0.xyz,02_6_0901_0,134,1340,-483.941851999989
6_0901_0.xyz,02_6_0901_0,135,1350,-483.340289499989
6_0901_0.xyz,02_6_0901_0,136,1360,-484.223101999989
6_0901_0.xyz,02_6_0901_0,137,1370,-483.941851999989
6_0901_0.xyz,02_6_0901_0,138,1380,-483.707476999989
6_0901_0.xyz,02_6_0901_0,139,1390,-483.926226999989
6_0901_0.xyz,02_6_0901_0,140,1400,-482.918414499989
6_0901_0.xyz,02_6_0901_0,141,1410,-483.527789499989
6_0901_0.xyz,02_6_0901_0,142,1420,-482.949664499989
6_0901_0.xyz,02_6_0901_0,143,1430,-482.980914499989
6_0901_0.xyz,02_6_0901_0,144,1440,-483.160601999989
6_0901_0.xyz,02_6_0901_0,145,1450,-483.113726999989
6_0901_0.xyz,02_6_0901_0,146,1460,-483.848101999989
6_0901_0.xyz,02_6_0901_0,147,1470,-483.379351999989
6_0901_0.xyz,02_6_0901_0,148,1480,-482.934039499989
6_0901_0.xyz,02_6_0901_0,149,1490,-483.637164499989
6_0901_0.xyz,02_6_0901_0,150,1500,-483.012164499989
6_0901_0.xyz,02_6_0901_0,151,1510,-482.754351999989
6_0901_0.xyz,02_6_0901_0,152,1520,-483.301226999989
6_0901_0.xyz,02_6_0901_0,153,1530,-483.449664499989
6_0901_0.xyz,02_6_0901_0,154,1540,-483.441851999989
6_0901_0.xyz,02_6_0901_0,155,1550,-483.215289499989
6_0901_0.xyz,02_6_0901_0,156,1560,-483.965289499989
6_0901_0.xyz,02_6_0901_0,157,1570,-483.723101999989
6_0901_0.xyz,02_6_0901_0,158,1580,-483.035601999989
6_0901_0.xyz,02_6_0901_0,159,1590,-483.121539499989
6_0901_0.xyz,02_6_0901_0,160,1600,-482.582476999989
6_0901_0.xyz,02_6_0901_0,161,1610,-482.410601999989
6_0901_0.xyz,02_6_0901_0,162,1620,-482.840289499989
6_0901_0.xyz,02_6_0901_0,163,1630,-482.332476999989
6_0901_0.xyz,02_6_0901_0,164,1640,-483.457476999989
6_0901_0.xyz,02_6_0901_0,165,1650,-483.223101999989
6_0901_0.xyz,02_6_0901_0,166,1660,-484.027789499989
6_0901_0.xyz,02_6_0901_0,167,1670,-483.449664499989
6_0901_0.xyz,02_6_0901_0,168,1680,-483.410601999989
6_0901_0.xyz,02_6_0901_0,169,1690,-483.738726999989
6_0901_0.xyz,02_6_0901_0,170,1700,-483.332476999989
6_0901_0.xyz,02_6_0901_0,171,1710,-483.371539499989
6_0901_0.xyz,02_6_0901_0,172,1720,-482.887164499989
6_0901_0.xyz,02_6_0901_0,173,1730,-483.293414499989
6_0901_0.xyz,02_6_0901_0,174,1740,-483.355914499989
6_0901_0.xyz,02_6_0901_0,175,1750,-482.738726999989
6_0901_0.xyz,02_6_0901_0,176,1760,-484.199664499989
6_0901_0.xyz,02_6_0901_0,177,1770,-482.512164499989
6_0901_0.xyz,02_6_0901_0,178,1780,-482.902789499989
6_0901_0.xyz,02_6_0901_0,179,1790,-483.785601999989
6_0901_0.xyz,02_6_0901_0,180,1800,-482.394976999989
6_0901_0.xyz,02_6_0901_0,181,1810,-483.293414499989
6_0901_0.xyz,02_6_0901_0,182,1820,-482.949664499989
6_0901_0.xyz,02_6_0901_0,183,1830,-483.019976999989
6_0901_0.xyz,02_6_0901_0,184,1840,-482.918414499989
6_0901_0.xyz,02_6_0901_0,185,1850,-482.910601999989
6_0901_0.xyz,02_6_0901_0,186,1860,-482.746539499989
6_0901_0.xyz,02_6_0901_0,187,1870,-482.410601999989
6_0901_0.xyz,02_6_0901_0,188,1880,-483.160601999989
6_0901_0.xyz,02_6_0901_0,189,1890,-483.074664499989
6_0901_0.xyz,02_6_0901_0,190,1900,-482.559039499989
6_0901_0.xyz,02_6_0901_0,191,1910,-482.566851999989
6_0901_0.xyz,02_6_0901_0,192,1920,-482.480914499989
6_0901_0.xyz,02_6_0901_0,193,1930,-481.973101999989
6_0901_0.xyz,02_6_0901_0,194,1940,-482.637164499989
6_0901_0.xyz,02_6_0901_0,195,1950,-482.566851999989
6_0901_0.xyz,02_6_0901_0,196,1960,-482.980914499989
6_0901_0.xyz,02_6_0901_0,197,1970,-482.402789499989
6_0901_0.xyz,02_6_0901_0,198,1980,-483.348101999989
6_0901_0.xyz,02_6_0901_0,199,1990,-482.707476999989
6_0901_0.xyz,02_6_0901_0,200,2000,-482.449664499989
6_0978_0.xyz,03_6_0978_0,1,10,-578.1250405000028
6_0978_0.xyz,03_6_0978_0,2,20,-577.7500405000028
6_0978_0.xyz,03_6_0978_0,3,30,-578.3672280000028
6_0978_0.xyz,03_6_0978_0,4,40,-577.1719155000028
6_0978_0.xyz,03_6_0978_0,5,50,-578.2891030000028
6_0978_0.xyz,03_6_0978_0,6,60,-577.6094155000028
6_0978_0.xyz,03_6_0978_0,7,70,-577.6719155000028
6_0978_0.xyz,03_6_0978_0,8,80,-578.0625405000028
6_0978_0.xyz,03_6_0978_0,9,90,-578.2500405000028
